"Base","weekday","Trips"
"B02512","Sun",20490
"B02512","Mon",25460
"B02512","Tue",31670
"B02512","Wed",32929
"B02512","Thu",35032
"B02512","Fri",33319
"B02512","Sat",26773
"B02598","Sun",146652
"B02598","Mon",163542
"B02598","Tue",202378
"B02598","Wed",216644
"B02598","Thu",235157
"B02598","Fri",229908
"B02598","Sat",198832
"B02617","Sun",164452
"B02617","Mon",176416
"B02617","Tue",214167
"B02617","Wed",222669
"B02617","Thu",240216
"B02617","Fri",234379
"B02617","Sat",206554
"B02682","Sun",126511
"B02682","Mon",143372
"B02682","Tue",176198
"B02682","Wed",189863
"B02682","Thu",205091
"B02682","Fri",201594
"B02682","Sat",170160
"B02764","Sun",32075
"B02764","Mon",32682
"B02764","Tue",39376
"B02764","Wed",34383
"B02764","Thu",39649
"B02764","Fri",41939
"B02764","Sat",43795
