"hour","month_name","Trips"
0,"April",11910
0,"August",21451
0,"July",17953
0,"June",14514
0,"May",13875
0,"September",24133
1,"April",7769
1,"August",14471
1,"July",11527
1,"June",9167
1,"May",8186
1,"September",16107
2,"April",4935
2,"August",10105
2,"July",8562
2,"June",6189
2,"May",5372
2,"September",10702
3,"April",5040
3,"August",10376
3,"July",9199
3,"June",6937
3,"May",5946
3,"September",10789
4,"April",6095
4,"August",11774
4,"July",10040
4,"June",7701
4,"May",6945
4,"September",12675
5,"April",9476
5,"August",16525
5,"July",14932
5,"June",11955
5,"May",10789
5,"September",20262
6,"April",18498
6,"August",24907
6,"July",23456
6,"June",22030
6,"May",21015
6,"September",33307
7,"April",24924
7,"August",34064
7,"July",32545
7,"June",30834
7,"May",27413
7,"September",43314
8,"April",22843
8,"August",34566
8,"July",33387
8,"June",29771
8,"May",25460
8,"September",44477
9,"April",17939
9,"August",30195
9,"July",28486
9,"June",24298
9,"May",20507
9,"September",38542
10,"April",17865
10,"August",30706
10,"July",28558
10,"June",23584
10,"May",20801
10,"September",37634
11,"April",18774
11,"August",31778
11,"July",30120
11,"June",24155
11,"May",22055
11,"September",38821
12,"April",19425
12,"August",32106
12,"July",30900
12,"June",25233
12,"May",23595
12,"September",39193
13,"April",22603
13,"August",35764
13,"July",35832
13,"June",28937
13,"May",27699
13,"September",45042
14,"April",27190
14,"August",40644
14,"July",41357
14,"June",34428
14,"May",34363
14,"September",52643
15,"April",35324
15,"August",48197
15,"July",46053
15,"June",41586
15,"May",43087
15,"September",61219
16,"April",42003
16,"August",53481
16,"July",52403
16,"June",48162
16,"May",49127
16,"September",68224
17,"April",45475
17,"August",57122
17,"July",58260
17,"June",50452
17,"May",51508
17,"September",73373
18,"April",43003
18,"August",55390
18,"July",57268
18,"June",45013
18,"May",48965
18,"September",75040
19,"April",38923
19,"August",53008
19,"July",52332
19,"June",38203
19,"May",42387
19,"September",69660
20,"April",36244
20,"August",51674
20,"July",51859
20,"June",40108
20,"May",40731
20,"September",63988
21,"April",36964
21,"August",51354
21,"July",49528
21,"June",40791
21,"May",42217
21,"September",60606
22,"April",30645
22,"August",46008
22,"July",42218
22,"June",35614
22,"May",35556
22,"September",51817
23,"April",20649
23,"August",33609
23,"July",29346
23,"June",24182
23,"May",24836
23,"September",36568
