"month","month_name","day","Trips"
4,"April",1,14546
4,"April",2,17474
4,"April",3,20701
4,"April",4,26714
4,"April",5,19521
4,"April",6,13445
4,"April",7,19550
4,"April",8,16188
4,"April",9,16843
4,"April",10,20041
4,"April",11,20420
4,"April",12,18170
4,"April",13,12112
4,"April",14,12674
4,"April",15,20641
4,"April",16,17717
4,"April",17,20973
4,"April",18,18074
4,"April",19,14602
4,"April",20,11017
4,"April",21,13162
4,"April",22,16975
4,"April",23,20346
4,"April",24,23352
4,"April",25,25095
4,"April",26,24925
4,"April",27,14677
4,"April",28,15475
4,"April",29,22835
4,"April",30,36251
5,"May",1,23375
5,"May",2,24235
5,"May",3,22234
5,"May",4,13918
5,"May",5,17859
5,"May",6,19300
5,"May",7,21891
5,"May",8,27513
5,"May",9,26385
5,"May",10,22550
5,"May",11,14901
5,"May",12,17470
5,"May",13,19498
5,"May",14,22218
5,"May",15,26301
5,"May",16,32493
5,"May",17,22294
5,"May",18,16508
5,"May",19,18315
5,"May",20,20860
5,"May",21,23508
5,"May",22,26802
5,"May",23,26465
5,"May",24,14651
5,"May",25,10841
5,"May",26,10202
5,"May",27,17004
5,"May",28,22240
5,"May",29,24930
5,"May",30,24413
5,"May",31,21261
6,"June",1,15967
6,"June",2,17503
6,"June",3,22674
6,"June",4,22831
6,"June",5,28371
6,"June",6,24683
6,"June",7,20889
6,"June",8,15749
6,"June",9,23244
6,"June",10,22874
6,"June",11,25716
6,"June",12,29844
6,"June",13,31207
6,"June",14,19327
6,"June",15,14511
6,"June",16,17778
6,"June",17,21807
6,"June",18,24647
6,"June",19,28594
6,"June",20,24271
6,"June",21,19940
6,"June",22,16322
6,"June",23,17735
6,"June",24,20779
6,"June",25,26460
6,"June",26,28516
6,"June",27,24895
6,"June",28,21208
6,"June",29,17107
6,"June",30,18395
7,"July",1,21228
7,"July",2,26480
7,"July",3,21597
7,"July",4,14148
7,"July",5,10890
7,"July",6,11443
7,"July",7,18280
7,"July",8,25763
7,"July",9,27817
7,"July",10,30541
7,"July",11,28752
7,"July",12,25936
7,"July",13,21082
7,"July",14,27350
7,"July",15,33845
7,"July",16,28607
7,"July",17,30710
7,"July",18,29860
7,"July",19,25726
7,"July",20,21212
7,"July",21,23578
7,"July",22,29029
7,"July",23,34073
7,"July",24,32050
7,"July",25,29975
7,"July",26,27708
7,"July",27,22590
7,"July",28,23981
7,"July",29,27589
7,"July",30,30740
7,"July",31,33541
8,"August",1,32353
8,"August",2,28678
8,"August",3,23146
8,"August",4,24952
8,"August",5,28094
8,"August",6,30495
8,"August",7,32759
8,"August",8,30411
8,"August",9,26286
8,"August",10,20584
8,"August",11,22632
8,"August",12,29646
8,"August",13,29788
8,"August",14,30457
8,"August",15,28974
8,"August",16,26234
8,"August",17,21209
8,"August",18,21956
8,"August",19,24834
8,"August",20,27955
8,"August",21,32304
8,"August",22,29512
8,"August",23,27097
8,"August",24,22036
8,"August",25,22093
8,"August",26,24550
8,"August",27,27018
8,"August",28,28597
8,"August",29,27424
8,"August",30,23930
8,"August",31,23271
9,"September",1,19961
9,"September",2,28831
9,"September",3,32631
9,"September",4,38360
9,"September",5,42319
9,"September",6,40520
9,"September",7,30134
9,"September",8,30360
9,"September",9,34560
9,"September",10,35910
9,"September",11,36439
9,"September",12,39540
9,"September",13,43205
9,"September",14,28122
9,"September",15,29454
9,"September",16,36092
9,"September",17,35531
9,"September",18,40274
9,"September",19,41017
9,"September",20,38864
9,"September",21,28620
9,"September",22,28312
9,"September",23,30316
9,"September",24,31301
9,"September",25,38203
9,"September",26,37504
9,"September",27,39468
9,"September",28,29656
9,"September",29,29201
9,"September",30,33431
