"weekday","month","Trips"
"Sun",4,51251
"Sun",5,56168
"Sun",6,79656
"Sun",7,76327
"Sun",8,110246
"Sun",9,116532
"Mon",4,60861
"Mon",5,63846
"Mon",6,94655
"Mon",7,93189
"Mon",8,91633
"Mon",9,137288
"Tue",4,91185
"Tue",5,76662
"Tue",6,88134
"Tue",7,137454
"Tue",8,107124
"Tue",9,163230
"Wed",4,108631
"Wed",5,89857
"Wed",6,99654
"Wed",7,147717
"Wed",8,115256
"Wed",9,135373
"Thu",4,85067
"Thu",5,128921
"Thu",6,115325
"Thu",7,148439
"Thu",8,124117
"Thu",9,153276
"Fri",4,90303
"Fri",5,133991
"Fri",6,105056
"Fri",7,102735
"Fri",8,148674
"Fri",9,160380
"Sat",4,77218
"Sat",5,102990
"Sat",6,81364
"Sat",7,90260
"Sat",8,132225
"Sat",9,162057
